evidence_id,domain,statement,evidence_type,support_status,source_metrics,source_phases,limitation,verdict_role
E15-01,C_EVIDENCE,"C has greater anchored hypervolume for r5, r10 and r20.",LEVEL_2_MULTIOBJECTIVE_STRUCTURE,SUPPORTED,HV_H;HV_C;HV_DIRECTION;HV_REFERENCE_SENSITIVITY,CR1-COMP-11,Anchored finite-set coverage only; not convergence or true-front proximity.,C_EVIDENCE_HV
E15-02,C_EVIDENCE,Seven of nine C solutions remain in joint Rank 1.,LEVEL_2_MULTIOBJECTIVE_STRUCTURE,SUPPORTED,JOINT_RANK1_C,CR1-COMP-08,Joint nondominated set of 18 evaluated solutions.,C_EVIDENCE_JOINT_RANK
E15-03,C_EVIDENCE,C04 exactly dominates H05.,LEVEL_2_MULTIOBJECTIVE_STRUCTURE,SUPPORTED,C_DOMINATES_H_PAIR_COUNT,CR1-COMP-05;CR1-COMP-14,One local relation; not broad replacement.,C_EVIDENCE_LOCAL_DOMINANCE
E15-04,C_EVIDENCE,C has substantially lower median f1 with modestly higher median f2 and f3.,LEVEL_1_DIRECT_OBSERVATION,SUPPORTED,F1/F2/F3 median shifts,CR1-COMP-04;CR1-COMP-14,Finite-set central tendency; not statistical inference.,C_EVIDENCE_OBJECTIVE_CENTRAL_TENDENCY
E15-05,HISTORICAL_SURVIVAL,Eight of nine H solutions remain in joint Rank 1.,LEVEL_2_MULTIOBJECTIVE_STRUCTURE,SUPPORTED,JOINT_RANK1_H,CR1-COMP-08,Joint nondominated set of 18 evaluated solutions.,H_EVIDENCE_JOINT_RANK
E15-06,HISTORICAL_SURVIVAL,H02 exactly dominates C06 and H08 exactly dominates C08.,LEVEL_2_MULTIOBJECTIVE_STRUCTURE,SUPPORTED,H_DOMINATES_C_PAIR_COUNT,CR1-COMP-05;CR1-COMP-14,Two local relations; not global H superiority.,H_EVIDENCE_LOCAL_DOMINANCE
E15-07,HISTORICAL_SURVIVAL,Full and core H-over-C coverage exceed the reciprocal C-over-H values.,LEVEL_2_MULTIOBJECTIVE_STRUCTURE,SUPPORTED,FULL_COVERAGE_C_OVER_H;FULL_COVERAGE_H_OVER_C;CORE_COVERAGE_NC_OVER_NH;CORE_COVERAGE_NH_OVER_NC,CR1-COMP-07,Coverage is asymmetric and neither direction indicates broad replacement.,H_EVIDENCE_COVERAGE
E15-08,HISTORICAL_SURVIVAL,All observed global marginal objective extremes remain in H; C adds none.,LEVEL_2_MULTIOBJECTIVE_STRUCTURE,SUPPORTED,NEW_EXTREMES_C;HISTORICAL_EXTREMES_NOT_REPRODUCED_BY_C,CR1-COMP-09,Marginal extrema do not determine multivariate dominance.,H_EVIDENCE_EXTREMES
E15-09,TRADEOFF_RESTRUCTURING,Seventy-eight of 81 cross-set pairs are incomparable while dominance is sparse and bidirectional.,DERIVED_SIMPLE_RATIO_FROM_FROZEN_COUNTS,SUPPORTED,C_DOMINATES_H_PAIR_COUNT;H_DOMINATES_C_PAIR_COUNT;INCOMPARABLE_PAIR_COUNT,CR1-COMP-05,Finite evaluated sets; no population inference.,PREDOMINANT_INCOMPARABILITY
E15-10,TERMINAL_COMPARABILITY,Both sets contain nine TMAX points under COMMON_TMAX_19P9H.,LEVEL_1_DIRECT_OBSERVATION,SUPPORTED,H_TMAX_COUNT;C_TMAX_COUNT;COMPARATIVE_TERMINAL_REGIME,CR1-COMP-12,"Fixed horizon, not free normal termination; trajectories need not be equal.",COMMON_NOMINAL_HORIZON
E15-11,INTERPRETIVE_SYNTHESIS,Direct corrected optimization restructures the evaluated trade-offs rather than uniformly replacing H.,LEVEL_4_LIMITED_INFERENCE,SUPPORTED,full quantitative vector,CR1-COMP-02...14,"Descriptive synthesis, not a formal class or algorithm-superiority claim.",QUANTITATIVE_VERDICT_PATTERN
E15-12,INTERPRETIVE_SYNTHESIS,C concentration is partially consistent with multiple operational trade-off mechanisms.,LEVEL_3_MECHANISTIC_INTERPRETATION,PARTIALLY_SUPPORTED,C_REGION_CONCENTRATION_HYPOTHESIS;C_REGION_CONCENTRATION_INTERPRETATION,CR1-COMP-14,Irradiacion unavailable; C CO2 components not persisted; no unique causal mechanism.,PRESERVED_CR1_COMP_14_INTERPRETATION
E15-13,INFERENTIAL_LIMITATION,"One corrected run does not establish convergence, between-seed variability, expected performance or statistical configuration superiority.",LEVEL_4_LIMITED_INFERENCE,SUPPORTED,seed;PopulationSize;MaxGenerations;stop reason,CORRECTED_R1 validated run;CR1-COMP-14,"Seed 61001, PopulationSize 24, MaxGenerations 50; MAXGENERATIONS_REACHED does not imply convergence.",WHAT_IS_NOT_ESTABLISHED
