evidence_id,year,authors,venue,title,doi,evidence_role,gate_implication
E01,2026,"Pereira; Joardder; Karim","Food Engineering Reviews","Optimization Strategies for Hybrid Drying Systems: Enhancing Energy Efficiency, Cost, and Quality in Food Processing","10.1007/s12393-026-09446-9","Review: fragmentation; integrated KPIs; moisture-removal normalization; boundary-sensitive CO2 metrics","Supports Gap 1 only as an integration gap"
E02,2020,"Murali et al.","Renewable Energy","Design and performance evaluation of solar-LPG hybrid dryer for drying of shrimps","10.1016/j.renene.2019.10.002","Direct solar-LPG dryer precedent","Solar-LPG is not novel"
E03,2020,"Ortiz-Rodríguez et al.","Applied Thermal Engineering","Solar-LP gas hybrid plant for dehydration of food","10.1016/j.applthermaleng.2020.115496","Industrial solar-LP gas drying plus economic analysis","Solar-LPG plus economics is not novel"
E04,2023,"César-Munguía et al.","Applied Thermal Engineering","Hybrid thermosolar-LPG dehydrating plant installed in Xochitepec, México. Case study: Pineapple","10.1016/j.applthermaleng.2023.120171","Experimental thermosolar-LPG plant","Reinforces incremental system novelty"
E05,2024,"Khater et al.","Scientific Reports","Assessment of a LPG hybrid solar dryer assisted with smart air circulation system for drying basil leaves","10.1038/s41598-024-74751-4","Solar-LPG; temperature and air-changing-rate effects","Coupled thermal-air management has direct precedent"
E06,2018,"Winiczenko et al.","Computers and Electronics in Agriculture","Multi-objective optimization of convective drying of apple cubes","10.1016/j.compag.2018.01.006","ANN+GA+NSGA-II; temperature and air velocity decisions","GA/NSGA-II and temperature-airflow MOO not novel"
E07,2018,"El Ferouali et al.","21st International Drying Symposium","Hybrid solar-gas-electric dryer optimization with genetic algorithms","10.4995/IDS2018.2018.7521","Hybrid solar-gas-electric dryer optimized with GA","Algorithm application only"
E08,2021,"Oviedo; Barán; Galeano","CLEI Electronic Journal","Multi-objective optimization of a steady-state rotary dryer","10.19153/cleiej.24.2.1","Three-objective moisture/heat-loss/operating-cost dryer optimization","Generic tri-objective drying not novel"
E09,2022,"Zhang et al.","Journal of Cleaner Production","Multi-objective optimization of milk powder spray drying system considering environmental impact, economy and product quality","10.1016/j.jclepro.2022.133353","Environmental/economic/product-quality MOO in drying","Broad techno-economic-environmental novelty claim prohibited"
E10,2019,"Afzali; Darvishi; Behroozi-Khazaei","Applied Thermal Engineering","Optimizing exergetic performance of a continuous conveyor infrared-hot air dryer with air recycling system","10.1016/j.applthermaleng.2019.03.096","Recirculation-temperature interaction; non-monotonic drying-time response","Supports coupled/non-causal physical interpretation"
E11,2020,"Zohrabi et al.","Journal of Cleaner Production","Energy saving in a convective dryer by using novel real-time exergy-based control schemes adjusting exhaust air recirculation","10.1016/j.jclepro.2020.120394","Recirculation control and energy savings","Supports system-level air-management interpretation"
E12,2026,"Targeted literature search","Multiple scholarly sources","Historical-solution reevaluation after corrected objective/model formulation in drying","","No direct drying precedent identified matching preserve->reevaluate->reoptimize->finite-set survival workflow","Strong novelty candidate only; universal absence not proved"
