line,charpos,level,heading,status,word_count,char_count
1,1,1,# MASTER_manuscript_v01,,3,28
5,29,1,# Status,,4,40
11,69,1,# Micropaso,,4,40
17,109,1,# Identifier,,4,62
23,171,1,# Working title,,19,165
29,336,1,# Internal control note,,52,496
49,832,1,# 1. Abstract,DRAFT_READY_FOR_REVIEW,291,2273
61,3105,1,# 2. Keywords,DRAFT_READY_FOR_REVIEW,32,236
74,3341,1,# 3. Introduction,DRAFT_READY_FOR_REVIEW,553,4278
90,7619,1,# 3.1 Context,,18,113
96,7732,1,# 3.2 Problem,,20,139
102,7871,1,# 3.3 Gap,,28,218
108,8089,1,# 3.4 Contribution,,27,216
114,8305,1,# 3.5 Scope and limitation,,32,217
120,8522,1,# 4. System description,DRAFT_READY_FOR_REVIEW,454,3345
138,11867,1,# 5. Mathematical model,DRAFT_READY_FOR_REVIEW,386,3224
144,12462,2,## 5.1 State vector and decision-variable coupling,,77,668
160,13130,2,## 5.2 Air-side energy balance,,86,760
170,13890,2,## 5.3 Product thermal and drying submodel,,63,544
186,14434,2,## 5.4 Structural thermal response and numerical integration,,76,657
196,15091,1,# 5.1 Drying model,,19,107
205,15198,1,# 5.2 Thermal model,,17,112
214,15310,1,# 5.3 Solar collector representation,,32,227
223,15537,1,# 5.4 Operational modes,,24,162
231,15699,1,# 6. Optimization methodology,DRAFT_READY_FOR_REVIEW,784,6082
237,16332,2,## 6.1 Decision variables and operating bounds,,71,582
241,16914,2,## 6.2 Objective functions and feasibility criterion,,153,1216
247,18130,2,## 6.3 Genetic-algorithm configuration and run interpretation,,115,804
253,18934,2,## 6.4 Candidate selection and reference points,,135,947
259,19881,2,## 6.5 Collector-efficiency sensitivity and baseline comparison,,113,906
265,20787,2,## 6.6 Reproducibility and interpretation limits,,123,994
271,21781,1,# 6.1 Decision variables,,21,134
280,21915,1,# 6.2 Objective functions,,20,158
288,22073,1,# 6.3 Constraints and feasibility criterion,,17,106
296,22179,1,# 6.4 Seed-aware formal run,,27,208
309,22387,1,# 7. Results and discussion,STRUCTURALLY_INTEGRATED_CONTENT_REVIEW_PENDING,37,310
317,22697,1,# 7.1 Formal tri-objective run,INTEGRATED_FROM_APPROVED_SECTION,583,4299
337,23071,2,## Formal tri-objective run,,560,3925
355,26996,1,# 7.2 Collector-efficiency sensitivity,INTEGRATED_FROM_APPROVED_SECTION,894,6845
374,27334,2,## Tri-objective optimization results and collector-efficiency sensitivity,,458,3280
388,30614,2,## 7.2.1 Hybrid versus gas-LPG baseline comparison,INTEGRATED_FROM_APPROVED_SECTION_v01_1,416,3227
415,33841,1,# 7.3 Operational interpretation,INTEGRATED_FROM_APPROVED_SECTION,536,4205
440,34341,2,## Operational interpretation,,508,3705
456,38046,1,# 7.4 Methodological implications,INTEGRATED_FROM_APPROVED_SECTION,1065,8415
482,38598,2,## Methodological implications,,457,3543
496,42141,2,## 7.5 Discussion,,578,4320
511,46461,1,# 8. Limitations,,471,3535
528,49996,1,# 9. Conclusions,,423,3321
545,53317,1,# 10. Nomenclature,DRAFT_READY_FOR_REVIEW,251,1841
549,53371,2,## Symbols,,92,661
559,54032,2,## Abbreviations and labels,,92,688
571,54720,2,## Interpretation notes,,62,438
576,55158,1,# 11. References,PRELIMINARY_REFERENCE_SCAFFOLD_READY_FOR_REVIEW,276,2334
582,55627,2,## Reference groups to verify before submission,,156,1371
593,56998,2,## Verification requirements,,64,494
600,57492,1,# 12. Supplementary material,PARTIAL,29,245
614,57737,1,# Internal traceability log,,5,32
618,57769,1,# Approved sections,,25,191
626,57960,1,# Approved tables,,31,228
635,58188,1,# Restrictions,,554,4011
644,58624,3,### Reproducibility configuration of the formal multiobjective run,,270,1907
653,60531,3,### Traceability of economic and CO2 factors,,217,1668
