id,category,severity,line,section,matchedText,recommendation
MPSL-F001,Completeness,MAJOR,51,# 1. Abstract,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F002,Completeness,MAJOR,69,# 2. Keywords,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F003,Completeness,MAJOR,86,# 3. Introduction,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F004,Completeness,MAJOR,124,# 4. System description,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F005,Completeness,MAJOR,144,# 5. Mathematical model,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F006,Completeness,MAJOR,462,# 10. Nomenclature,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F007,Completeness,MAJOR,481,# 11. References,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F008,Scaffolding,MAJOR,55,# 1. Abstract,"Expected content:","Convert expected-content scaffold into manuscript prose or remove it after drafting."
MPSL-F009,Scaffolding,MAJOR,126,# 4. System description,"Expected content:","Convert expected-content scaffold into manuscript prose or remove it after drafting."
MPSL-F010,Scaffolding,MAJOR,146,# 5. Mathematical model,"Expected content:","Convert expected-content scaffold into manuscript prose or remove it after drafting."
MPSL-F011,Scaffolding,MAJOR,189,# 6. Optimization methodology,"Expected content:","Convert expected-content scaffold into manuscript prose or remove it after drafting."
MPSL-F012,Scaffolding,MAJOR,136,# 4. System description,"Expected figure:","Replace expected-figure scaffold with figure callout/caption or remove if not used."
MPSL-F013,Front matter,MINOR,71,# 2. Keywords,"Candidate keywords:","Convert candidate keyword list into finalized keyword section."
MPSL-F014,References,MAJOR,483,# 11. References,"Required references:","Replace required-reference scaffold with actual references."
MPSL-F015,Style/grammar,MINOR,327,# 7.2 Collector-efficiency sensitivity / ## 7.2.1 Hybrid versus gas-LPG baseline comparison,"For all selected candidates, hybrid operation reduced the auxiliary energy demand relative to the gas-LPG-only case while maintaining the final moisture ratio below the feasibility threshold. The reduction in auxiliary e...","Rewrite the local sentence to remove duplicated transition."
MPSL-F016,Redundancy,MINOR,60,# 1. Abstract,"- Seed-aware computed nondominated set.","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F017,Redundancy,MINOR,118,# 3.5 Scope and limitation,"The work reports a computed nondominated set from a controlled seed-aware formal run. It does not claim global optimality or statistical robustness across multiple independent seeds.","Check whether repetition is justified; consolidate wording if it reads redundant."
