claim_id,domain,claim_level,claim_text,status,evidence_artifacts,evidence_solution_ids,evidence_fields,limitation,manuscript_candidate
C14-01,MULTIOBJECTIVE,LEVEL_2_MULTIOBJECTIVE_STRUCTURE,"C occupies a distinct, narrower decision-objective tradeoff region within the evaluated finite sets.",SUPPORTED,CR1-COMP-03;CR1-COMP-09,H01-H09;C01-C09,decision medians;occupied ranges;objective ranges;NEW_EXTREMES_C,Finite-set description; not statistical separation or a true-front claim.,YES
C14-02,PHYSICAL,LEVEL_1_DIRECT_OBSERVATION,C has substantially lower median MR_final with modestly higher median f2 and f3.,SUPPORTED,CR1-COMP-04,H01-H09;C01-C09,F1/F2/F3 median percent shifts,Central tendency of one finite set per source; no between-seed robustness.,YES
C14-03,MULTIOBJECTIVE,LEVEL_2_MULTIOBJECTIVE_STRUCTURE,The H-vs-C relation is predominantly tradeoff/incomparability rather than uniform replacement.,SUPPORTED,CR1-COMP-05;CR1-COMP-07,"C04,H05,H02,C06,H08,C08",INCOMPARABLE_COUNT;cross dominances;set coverage,Exact only for the 18 evaluated points.,YES
C14-04,MULTIOBJECTIVE,LEVEL_2_MULTIOBJECTIVE_STRUCTURE,Both H and C retain substantial contributions to the joint nondominated set.,SUPPORTED,CR1-COMP-08,"C01,C02,C03,C04,C05,C07,C09,H01,H02,H03,H04,H06,H07,H08,H09",JOINT_RANK1_H;JOINT_RANK1_C;ParetoRank,"Joint nondominated set of 18 evaluated solutions, not a true or global front.",YES
C14-05,MULTIOBJECTIVE,LEVEL_2_MULTIOBJECTIVE_STRUCTURE,C has greater anchored objective-space hypervolume with robust reference-point direction over r5/r10/r20.,SUPPORTED,CR1-COMP-11,H01-H09;C01-C09,HV_H;HV_C;HV_DIRECTION_R5/R10/R20,Robust only over the three prespecified reference points; no seed robustness or convergence inference.,YES
C14-06,PHYSICAL,LEVEL_4_LIMITED_INFERENCE,The common nominal TMAX horizon removes a different nominal terminal duration as a trivial H-vs-C explanation.,SUPPORTED,CR1-COMP-12,H01-H09;C01-C09,COMPARATIVE_TERMINAL_REGIME;TEMPORAL_COMPARABILITY,"Does not imply equal thermal, energy, moisture, cost, or emissions trajectories.",YES
C14-07,ECONOMIC,LEVEL_1_DIRECT_OBSERVATION,Observed f2 differences require joint reading of total modeled operating energy cost and water removed.,SUPPORTED,CR1-COMP-13,H01-H09;C01-C09,f2;total_cost_USD;water_removed_kg,"Not CAPEX, labor, maintenance, TCO, or integral commercial cost.",YES
C14-08,ENVIRONMENTAL,LEVEL_1_DIRECT_OBSERVATION,Observed f3 differences require joint reading of total modeled operational CO2 and water removed.,SUPPORTED,CR1-COMP-13,H01-H09;C01-C09,f3;total_CO2_kg;water_removed_kg,Operational CO2 as implemented; not life-cycle impact.,YES
C14-09,PHYSICAL,LEVEL_3_MECHANISTIC_INTERPRETATION,The observed C concentration is consistent with a coordinated operational tradeoff mechanism.,PARTIALLY_SUPPORTED,CR1-COMP-03;CR1-COMP-04;CR1-COMP-13,H01-H09;C01-C09,X median shifts;water_removed_kg;Q_aux_tot;Q_LPG_input;f1/f2/f3,"Central tendencies support the hypothesis, but cross-dominance X pathways differ and Irradiacion/C CO2 components are unavailable.",DEFER_TO_CR1_COMP_15_16
C14-10,INFERENTIAL_LIMITATION,LEVEL_4_LIMITED_INFERENCE,"Current evidence does not establish optimizer convergence, a true/global Pareto front, or between-seed robustness.",SUPPORTED,protocol v1.0;CR1-COMP-08;CR1-COMP-11,H01-H09;C01-C09,run scope;joint rank;HV sensitivity scope,One corrected run and finite evaluated sets.,YES
C14-11,INFERENTIAL_LIMITATION,LEVEL_1_DIRECT_OBSERVATION,Direct attribution to Irradiacion is unsupported by persisted CR1-COMP-13 evidence.,SUPPORTED,CR1-COMP-13,H01-H09;C01-C09,Irradiacion_availability,solar_cost_USD is not a physical substitute for Irradiacion.,YES
C14-12,ENVIRONMENTAL,LEVEL_1_DIRECT_OBSERVATION,Detailed CO2 component attribution for C is unsupported because C component values are not persisted.,SUPPORTED,CR1-COMP-13,C01-C09,CO2_LPG_kg_availability;CO2_electricity_kg_availability,Interpretation for C is limited to total CO2 and persisted energy inputs.,YES
